DateAndTime,Var1,valid_datetime,latest_ref_time,Unnamed_0,ref_datetime,CloudCover,PressureReducedMSL,RelativeHumidity,SolarDownwardRadiation,Temperature,WindDirection,WindSpeed,PV,Hour,Month,Day,out,date
15-Oct-2021 00:00:00,2088,2021-10-15 00:00:00,2021-10-14T18:00:00Z,23255,2021-10-14T18:00:00Z,1,99962.68,92.56,0,11.84,217.87,7.16,0,0,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 01:00:00,2089,2021-10-15 01:00:00,2021-10-15T00:00:00Z,23317,2021-10-15T00:00:00Z,1,99821.12,91.59,0,11.95,228.25,9.18,0,1,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 02:00:00,2090,2021-10-15 02:00:00,2021-10-15T00:00:00Z,23318,2021-10-15T00:00:00Z,0.95,99782.48,83.05,0,11.39,249.44,6.7,0,2,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 03:00:00,2091,2021-10-15 03:00:00,2021-10-15T00:00:00Z,23319,2021-10-15T00:00:00Z,1,99757.74,79.68,-0,11.28,255.95,7.83,0,3,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 04:00:00,2092,2021-10-15 04:00:00,2021-10-15T00:00:00Z,23320,2021-10-15T00:00:00Z,1,99761.71,71.28,0,11.3,266.11,7.46,0,4,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 05:00:00,2093,2021-10-15 05:00:00,2021-10-15T00:00:00Z,23321,2021-10-15T00:00:00Z,0.98,99732.47,68.93,0.12,11.12,268.87,6.87,0,5,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 06:00:00,2094,2021-10-15 06:00:00,2021-10-15T00:00:00Z,23322,2021-10-15T00:00:00Z,0.99,99730.97,69.31,33.05,10.78,277.29,6.09,0.186550492,6,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 07:00:00,2095,2021-10-15 07:00:00,2021-10-15T06:00:00Z,23384,2021-10-15T06:00:00Z,0,99744.14,67.75,144.6,10.58,304.87,4.99,3.899136887,7,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 08:00:00,2096,2021-10-15 08:00:00,2021-10-15T06:00:00Z,23385,2021-10-15T06:00:00Z,0,99854.91,63.93,236.26,11.21,315.24,4.04,7.109046379,8,10,6,15-Oct-2021,2021-10-15
15-Oct-2021 09:00:00,2097,2021-10-15 09:00:00,2021-10-15T06:00:00Z,23386,2021-10-15T06:00:00Z,0,99954.96,57.7,305.32,11.54,327.2,5.09,8.164462248,9,10,6,15-Oct-2021,2021-10-15
